GEOID,percent_>=18,percent_Married,percent_White,percent_Black,percent_Asian,percent_Hispanic,percent_Other_Race,percent_Male,percent_Female,percent_>=HighSch,percent_Poverty,percent_Unemployed,percent_Uninsured,Med_income
0500000US45073,80.1,53.9,84.02710054919673,7.007391058871837,0.8545911820561515,5.717805266129447,2.3007237078478675,49.4,50.6,86.1,16.2,3.3,10.3,52842.0
0500000US45075,77.9,35.7,33.15785134673592,61.597710490054055,0.7678809077954045,2.363707027523584,1.9986102768846647,46.9,53.1,84.3,21.8,5.1,10.6,38052.0
0500000US45077,81.0,46.7,85.15858259333267,6.280040426795868,1.7690580710863542,4.011819437265174,2.696405564084958,50.1,49.9,86.6,20.5,2.5,9.1,53188.0
0500000US45079,78.4,39.4,41.12302547025817,46.9006725035506,2.9323469626421748,5.428977211075451,3.117773721483704,48.4,51.6,91.8,15.9,3.9,9.2,56137.0
0500000US45081,78.1,53.3,58.343855218855225,24.49494949494949,0.021043771043771,15.646043771043772,1.1521464646464643,51.2,48.8,81.3,18.2,2.3,17.6,46451.0
0500000US45083,76.6,49.5,67.20817433966005,20.19116408147084,2.2346870508944945,7.319490559492542,2.769896922543238,48.8,51.2,87.5,12.7,3.1,10.2,57627.0
0500000US45085,75.8,45.3,44.472554649080415,46.017036679079375,1.2545363237537546,4.205160275543174,3.7143371518993336,48.7,51.3,88.1,15.8,4.6,11.4,49040.0
0500000US45087,78.5,44.4,64.07749212627262,29.748040723650483,0.1135281623086501,1.7505310188237015,4.248150589614004,47.4,52.6,82.8,18.7,4.9,11.2,40048.0
0500000US45089,79.2,38.0,31.516352824578792,64.13568208702324,0.6394066306467598,2.295469804021868,1.0230506090348157,47.6,52.4,83.9,20.6,2.2,9.8,40124.0
0500000US45091,75.7,52.8,69.1353694738022,18.790970788483165,2.568979169755106,6.031044694090806,3.2346358413271195,48.5,51.5,91.6,8.4,3.3,8.5,72234.0
