GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km,ratio_poverty,ratio_uninsured,med_income,ratio_black,ratio_hispanic
1400000US37117970400,11.5,13854.081849475724,0,14.2,9.7,34503.0,66.7462971810798,3.296703296703297
1400000US37129010700,10.6,605.5863648356001,26,26.7,11.5,30259.0,43.98340248962656,2.882725485913955
1400000US37139960502,9.1,2488.0915786987034,1,6.0,10.8,53587.0,25.230958735372617,7.185382878259085
1400000US37123960100,10.0,3401.3216750524784,1,14.3,14.7,46096.0,7.537766703005762,32.96994237657685
1400000US37113970600,9.2,11551.82052586044,0,13.2,15.3,42868.0,0.0,7.070166041778254
1400000US37131920402,9.5,18558.09272636689,0,21.3,6.0,51792.0,27.21139430284857,0.0
1400000US37119006106,9.4,2035.386187096613,16,1.8,10.8,60132.0,50.34026832587983,12.26910363601011
1400000US37115010500,9.4,4130.136186216931,2,16.3,13.1,52845.0,0.7529411764705882,1.2
1400000US37119003807,10.6,1163.154068794409,38,27.1,28.9,41061.0,40.4890178201409,43.825113966017405
1400000US37121950300,10.1,2997.268363666005,2,17.8,15.4,40387.0,1.0120028241939278,11.367380560131796
1400000US37119002903,7.7,1358.6733564650267,9,7.4,0.4,117361.0,8.077928248990258,2.066999287241625
1400000US37151031304,10.4,2240.5200352625693,1,16.1,14.9,43536.0,5.009052504526252,9.213437940052303
1400000US37129012006,8.4,1626.0461459502667,23,7.8,6.6,68924.0,3.829594380240199,4.056197598005892
1400000US37129010400,8.6,1384.2326956496336,40,14.4,4.0,64015.0,5.177791640673736,2.776044915782907
1400000US37119005709,8.1,657.3636243726944,20,2.8,8.7,85696.0,14.410681399631676,5.686003683241252
1400000US37127010502,9.6,818.0099779315944,23,12.8,7.1,45605.0,54.603854389721626,7.93718772305496
1400000US37113970501,8.4,17319.313780272452,0,12.6,11.6,50303.0,0.9537784299339692,2.421129860601614
1400000US37139960501,9.5,5533.415558356831,0,8.3,13.2,49099.0,16.65221162185603,1.850245735761781
1400000US37119001603,9.6,1742.8431977238158,45,19.3,21.4,45000.0,24.25561154374714,29.752633989922128
1400000US37147001100,9.8,10353.172412069318,0,14.1,17.1,57532.0,13.216195569136746,7.5821237585943475
1400000US37127011101,9.5,1463.3761211453243,4,5.0,4.6,62134.0,35.00999846177511,0.3691739732348869
1400000US37119006302,7.9,3454.272206247884,7,4.2,4.6,103598.0,18.50899742930591,5.620472072914232
1400000US37119005401,11.2,1817.072722705066,41,12.4,15.6,34832.0,83.37376677988033,7.957302280446385
1400000US37145920500,9.5,9842.845449696608,0,6.3,5.2,59181.0,14.555139648718688,1.4972646127267493
1400000US37133002800,9.3,6730.019460311918,0,7.9,9.6,57723.0,3.4198860037998733,8.423052564914503
1400000US37137950101,9.9,11753.769351057244,0,8.3,10.4,50651.0,12.380382775119616,5.3528708133971294
1400000US37131920100,10.6,4686.596820683554,1,15.3,15.3,43075.0,37.5,1.4344262295081966
1400000US37119003011,7.2,1913.8019336426075,15,1.3,3.1,115508.0,3.541858325666973,4.983134007973014
1400000US37147001600,10.2,6727.339867774325,0,13.8,6.7,54246.0,30.95157466982729,6.185799751664973
1400000US37129011703,7.8,2800.971553860576,5,3.7,1.1,108383.0,0.4445432318292953,0.4445432318292953
1400000US37149920104,8.5,910.2063099034278,1,12.5,10.5,50833.0,0.7156191661481021,10.734287492221531
1400000US37145920100,10.1,9941.901913359998,0,12.0,5.3,51423.0,26.758045292014305,0.8194278903456497
1400000US37131920401,12.1,7192.21855343548,0,21.6,17.5,34344.0,60.29511918274688,4.608399545970488
1400000US37119003106,8.9,647.6635826884869,21,14.7,16.4,81618.0,10.366972477064222,38.23394495412844
1400000US37151031200,10.5,2189.9480395388923,2,25.1,15.7,40020.0,12.145748987854253,14.878542510121456
1400000US37139960200,11.4,1970.924998586012,8,20.2,14.9,43097.0,52.88525315056378,1.392880831306655
1400000US37119005828,8.1,1306.591154650096,21,3.9,5.2,84313.0,6.996197718631179,4.157160963244613
1400000US37119004500,12.3,131.9954887082869,59,32.3,18.8,26914.0,67.54772393538914,1.5418502202643172
1400000US37127010602,10.4,763.040262503703,12,11.8,7.5,46250.0,54.227733934611045,1.739410533097117
1400000US37119000500,8.8,323.72213071429707,64,9.1,4.4,76344.0,29.974255240897392,6.730415593968371
1400000US37119003805,6.8,805.3932103803805,30,11.2,10.4,78101.0,15.425531914893616,16.989987484355446
1400000US37119002200,7.7,911.8714051431672,40,5.1,3.8,104550.0,5.030102932608274,5.302000388424937
1400000US37119006108,9.7,1473.2729841884843,16,8.7,14.2,62894.0,62.28748068006183,11.349083682932214
1400000US37119000800,12.3,1029.998642004531,64,18.8,15.9,40104.0,71.02521008403362,1.3445378151260503
1400000US37135011901,8.4,1385.562499088839,19,20.7,7.1,83194.0,8.859753675009932,14.20341676599126
1400000US37151031100,11.0,2606.7614912345707,2,19.3,17.6,42099.0,6.2421383647798745,14.842767295597485
1400000US37119005610,10.2,1717.729014357669,13,20.8,19.1,37969.0,49.95070653959908,8.544199802826158
1400000US37147000301,9.0,1664.7215590284598,17,18.1,8.6,85110.0,16.73469387755102,4.557823129251701
1400000US37119006407,8.4,1207.1391396319552,12,9.2,4.4,113864.0,9.258797105066137,1.7968555028699775
1400000US37119005715,9.0,4144.095483474818,1,6.8,9.5,73456.0,8.051652107861756,11.963539688568172
1400000US37133000103,9.4,8937.634796296725,0,11.0,8.1,68913.0,10.297202797202797,14.300699300699302
1400000US37119005915,9.0,497.50846062481895,46,6.0,8.6,70046.0,53.64875701684042,14.033680834001604
1400000US37147002001,11.8,5406.355271330218,0,18.2,29.6,36678.0,54.016445287792536,22.91271347248577
1400000US37133002202,10.6,1960.227713104304,15,20.2,7.3,39266.0,32.015996236179724,13.643848506233828
1400000US37129012010,8.5,1771.5927418386873,9,6.1,7.9,79803.0,5.134428678117999,3.192681105302465
1400000US37119001507,11.9,770.5789596228534,25,31.3,31.4,31771.0,48.2361963190184,44.49769938650307
1400000US37141920101,8.2,5139.963082473681,0,13.2,6.6,78750.0,0.0,0.0
1400000US37119006214,8.5,2445.058130436329,8,1.4,8.4,96435.0,5.736280109262478,3.253041966724609
1400000US37119001509,11.4,486.2743172161426,31,11.6,21.4,39716.0,58.69153825358205,31.06244931062449
1400000US37135011400,10.3,635.3402186787797,19,44.0,5.9,41394.0,4.819277108433735,5.316919853326349
1400000US37145920300,11.3,3171.1894154269226,2,20.9,13.9,31326.0,49.89976307636231,9.240021869874248
1400000US37119002906,7.6,1159.5454950876172,21,8.2,2.6,85577.0,2.975447357469829,1.7478152309612984
1400000US37119005916,10.9,1603.3790170523114,44,22.9,17.3,38832.0,52.36051502145923,27.104655001650706
1400000US37133001000,8.7,4102.619002989432,6,5.9,0.0,46333.0,9.981785063752277,22.40437158469945
1400000US37127010503,9.5,1753.8056644195804,9,10.0,5.1,60250.0,38.560813453265546,1.5252248728979272
1400000US37119005817,7.8,1374.816141129117,7,5.3,2.5,113603.0,5.523513753327418,2.3513753327417923
1400000US37119006210,7.9,2102.0024492380835,12,1.4,4.8,112833.0,6.514006224988885,3.734993330369053
1400000US37119003108,10.0,814.3457838957949,26,17.0,24.7,40238.0,31.780455153949127,36.03748326639893
1400000US37119005510,10.4,1216.851075440238,19,9.2,22.2,49474.0,58.63133055000908,22.780903975313123
1400000US37119002702,8.0,1336.052610987983,49,1.4,1.6,139844.0,2.182116488925349,2.65791632485644
1400000US37119005711,8.2,2825.8105323540867,8,6.5,6.7,93816.0,8.226720647773279,0.9068825910931172
1400000US37119005717,9.4,2025.9726296558208,22,14.8,19.9,52951.0,24.307323648345065,16.129998502321403
1400000US37141920402,9.6,6926.449412759199,0,20.2,7.8,44359.0,29.331306990881465,0.8206686930091186
1400000US37133000403,8.3,3775.514542302082,1,16.6,14.9,62727.0,0.0,4.152542372881356
1400000US37125950200,10.5,15864.629816010704,0,18.1,16.1,40000.0,6.822872405001822,25.081947310914167
1400000US37119005514,8.8,651.0707565512294,16,5.0,9.4,62775.0,43.17878832765516,6.754554880758406
1400000US37133000401,8.8,7669.534736847102,0,7.0,10.6,66436.0,1.460067163089502,6.073879398452329
1400000US37117970200,10.6,1779.9240562820544,2,19.1,14.4,38607.0,44.71190781049936,2.8681177976952625
1400000US37127010504,9.8,3261.406059378188,6,11.4,4.9,64112.0,35.89511754068716,7.468354430379747
1400000US37147001402,10.2,7444.87715320865,0,17.7,3.8,50250.0,35.851907820173786,2.07782395164337
1400000US37131920200,10.9,15521.515413645597,0,22.7,8.9,36636.0,53.36718332442544,3.607696419027258
1400000US37145920200,9.6,1252.1987708969732,1,10.4,3.5,64276.0,16.005492828806837,3.051571559353067
1400000US37135010901,9.2,6348.934046424964,0,4.3,11.7,72691.0,6.894162480512732,18.361337259657024
1400000US37147000601,11.5,115.62296589338884,16,26.1,13.0,32654.0,60.26443159013104,7.555188289458151
1400000US37119001802,8.7,649.4694168654851,36,13.1,9.7,52786.0,20.367892976588628,6.521739130434782
1400000US37119005918,8.6,1189.8529958020604,19,2.9,10.9,76335.0,29.259896729776248,19.498401770346693
1400000US37119004100,9.9,711.420238306054,64,17.3,14.0,66928.0,46.27374573794447,7.963955187530443
1400000US37141920602,9.9,6099.233283598339,0,14.9,12.1,46727.0,8.807588075880759,11.478900503290747
1400000US37119003103,8.4,1382.2033939389476,30,17.2,9.6,84727.0,6.379520520113776,13.73425436814303
1400000US37133001500,11.4,985.473306740759,22,26.9,18.5,36745.0,29.3398533007335,18.302479916171848
1400000US37129012103,8.2,310.62287220044703,6,4.1,4.2,82708.0,0.6209850107066381,2.312633832976445
1400000US37125950302,8.7,5703.302163835379,0,2.6,3.4,82434.0,12.903869166334264,1.336258476266454
1400000US37129012203,8.2,7482.094533131258,0,6.2,7.3,71319.0,0.0,2.354048964218456
1400000US37119005811,8.2,1120.4908783690278,18,5.1,7.4,78631.0,11.497267759562842,11.060109289617486
1400000US37119006203,8.1,2800.0859953548515,5,8.8,5.0,102768.0,8.90092879256966,2.051083591331269
1400000US37135011205,7.4,2477.9040732174,11,3.3,4.5,92996.0,13.297182600495107,4.173051986325593
1400000US37139960702,9.5,8571.213445389783,0,11.1,11.1,58163.0,14.271621177244327,2.597829661295626
