GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km
1400000US37063002007,8.1,1484.3878587972167,15
1400000US37055970400,8.4,703.456687661945,2
1400000US37063002020,7.7,1709.1276919293807,14
1400000US37057061702,10.6,3434.8489374077644,1
1400000US37027030800,10.3,4018.523788727626,2
1400000US37019020101,11.2,2979.377188194312,1
1400000US37021003202,8.7,5191.139529687017,0
1400000US37063001709,12.0,473.9913324055417,18
1400000US37019020203,9.9,4999.238405795166,0
1400000US37029950101,9.6,9053.442224769931,0
1400000US37049960101,8.1,6387.960661765421,0
1400000US37051000702,8.5,941.8081893001925,29
1400000US37019020307,7.9,5043.856756868243,0
1400000US37047930100,10.6,5291.973160432258,0
1400000US37063000101,10.4,1335.5025696760144,25
1400000US37031970901,7.7,3479.9477057067093,1
1400000US37025042102,10.4,653.3280668216936,11
1400000US37025041902,11.2,414.2190939155362,15
1400000US37045951100,12.0,978.5635991096884,11
1400000US37045950101,10.6,14898.473510133044,0
1400000US37057062001,9.8,4334.718695524149,1
1400000US37051002800,9.5,8001.331663226004,0
1400000US37021001200,8.4,1451.3219390913482,14
1400000US37031970502,8.3,3009.0315446241807,5
1400000US37025041702,9.3,11374.771993277263,0
1400000US37063002100,8.6,7792.301839409805,0
1400000US37063001806,9.8,3564.265054104016,2
1400000US37025041302,8.2,3685.869947467502,1
1400000US37047931000,10.5,3602.8050418383523,1
1400000US37063001706,8.4,1371.7563187664753,10
1400000US37035011501,9.3,9285.575756874114,0
1400000US37051001903,11.0,1501.9185848561951,17
1400000US37025040900,9.7,1890.3173134015185,13
1400000US37037020402,10.3,2597.1318491605125,2
1400000US37021003205,9.2,10208.667920311202,0
1400000US37045951602,10.6,4185.855146548237,4
1400000US37057061201,10.6,2242.671532083831,4
1400000US37057060203,9.4,1009.356078921065,2
1400000US37051003800,12.3,227.94925657457637,16
1400000US37061090802,10.5,8757.670621489853,0
1400000US37025041501,8.5,2886.997644825104,8
1400000US37015960400,11.0,7943.25639659372,0
1400000US37045951000,10.4,1324.907247187142,12
1400000US37031970603,10.4,1597.0047730642634,3
1400000US37031970903,8.0,5331.955817831244,0
1400000US37049961002,9.4,7088.735956056616,0
1400000US37021001100,8.4,1601.2455426118906,21
1400000US37027030600,9.8,1720.7347831674265,13
1400000US37057061600,11.2,1432.6846862168882,11
1400000US37045950700,10.3,537.2020821998099,9
1400000US37053110200,9.1,5400.823815902166,0
1400000US37049960200,10.7,18796.17294825151,0
1400000US37021002701,8.2,1299.2288061186073,11
1400000US37049960500,10.5,3143.8998954321346,3
1400000US37021002702,8.5,230.42888191493245,7
1400000US37055970102,8.5,143.4605059286695,3
1400000US37033930600,9.7,23381.164660560687,0
1400000US37063002025,8.7,873.6443370280317,35
1400000US37053110102,9.6,23729.842667398607,0
1400000US37051003407,8.1,1693.0591422384116,8
1400000US37025041100,9.2,2863.844718185689,17
1400000US37045950601,10.0,1474.6198130645903,2
1400000US37031970403,8.1,731.1570603413536,3
1400000US37063001808,8.2,2191.0556068880624,10
1400000US37063000700,8.6,1373.1409799641938,27
1400000US37025040500,9.5,1871.067455497394,3
1400000US37049960800,12.6,1516.9403469257409,7
1400000US37063000302,8.3,708.8827670945186,29
1400000US37051003203,10.3,2128.157480772189,14
1400000US37021000400,10.1,372.9894020538844,24
1400000US37051002501,10.1,1605.7025824822194,3
1400000US37051000800,9.6,555.7420161863917,24
1400000US37035011601,9.7,6429.695581523971,0
1400000US37021000600,9.0,675.5928832252972,27
1400000US37023020302,9.6,4215.067543345318,1
1400000US37023021302,10.1,12137.866687618893,0
1400000US37051003408,10.0,1277.4739376287305,6
1400000US37055970502,9.4,48507.33554178838,0
1400000US37021002301,8.1,1637.5202793584174,8
1400000US37035010600,9.4,168.20723861989217,17
1400000US37023020600,10.6,1668.1806144527643,11
