GEOID,Asthma_prev,nearest_hw_dist_m,hw_count_5km,ratio_poverty,ratio_uninsured,med_income,ratio_black,ratio_hispanic,ln_nearest_hw_dist_m,z_ratio_poverty,z_ratio_uninsured,z_med_income,z_ratio_black,z_ratio_hispanic,ln_nearest_hw_dist_m_x_z_ratio_poverty,ln_nearest_hw_dist_m_x_z_ratio_black
1400000US37003040700,9.3,1326.0157658056364,1,9.5,8.7,69338.0,0.0,2.4476036933900045,7.190687915049602,-0.5337367260605886,-0.384742168303617,0.42892993560890147,-1.0420822483738117,-0.7856675266763199,-3.8379342259020146,-7.493288229869285
1400000US37007920200,10.7,994.5703090824068,1,17.4,13.9,45234.0,49.22913343965976,4.57203615098352,6.903315747913761,0.271903881296775,0.487978698873109,-0.45822094894004,1.3530489193324102,-0.5338668557530073,1.877038345674901,9.340523912525123
1400000US37001020801,9.9,1257.6285096753093,25,8.0,11.0,50655.0,17.218543046357617,17.03792895845876,7.137777922731491,-0.6867064616347716,0.0012689844860887907,-0.2587003322316177,-0.2043533217947744,0.9436666668406102,-4.901558221253732,-1.4586286287435846
1400000US37007920400,12.3,5717.908527186592,0,25.7,13.0,26753.0,82.51968503937009,0.0,8.651533249240558,1.1183364181405877,0.3369308564771372,-1.1384165802605257,2.9727247526340475,-1.0757724203137076,9.675324705379886,25.718627038253874
1400000US37009970700,8.7,5190.924915816047,0,8.2,8.7,53401.0,0.5162523900573613,3.537284894837476,8.55485979676473,-0.6663104968915473,-0.384742168303617,-0.1576334417167076,-1.016965166202443,-0.6565118754169685,-5.700192882019828,-8.699994415055441
1400000US37001021102,10.2,1471.8303001340028,8,22.1,12.1,33715.0,24.04274265360641,9.85455624814485,7.294941202856349,0.7512090527625487,0.18588301408116537,-0.8821792562383829,0.1276625401948351,0.09224959237255229,5.480025870956205,0.9312907245286075
1400000US37013930300,12.0,640.1900936146145,7,27.9,13.7,27050.0,42.03015616585891,21.24394184168013,6.463325970857182,1.3426920303160559,0.45441251167400404,-1.1274854562681993,1.0027991050588492,1.4421889249249757,8.678256270404724,6.4814174992792
1400000US37001021801,9.1,5309.214830355068,0,11.7,12.5,59561.0,5.187319884726225,2.573075339645945,8.577387571111581,-0.3093811138851203,0.2530153884793751,0.06908616701302522,-0.7897050346249952,-0.7707958631427629,-2.6536817209748875,-6.773606148836675
1400000US37003040100,9.8,8401.386388961784,0,14.4,17.7,53909.0,4.483738553836438,0.6315124723713293,9.036271038408389,-0.0340355898515908,1.1257362556561008,-0.1389364350227621,-0.8239361790081452,-1.000921716695826,-0.30755481485107644,-7.445310631868172
1400000US37009970200,9.8,14401.338756080078,0,18.1,12.5,38169.0,0.7099391480730223,6.25422582826234,9.5751458859931,0.3432897578980607,0.2530153884793751,-0.7182492014847741,-1.0075417789014276,-0.3344834920480059,3.2870495130411834,-9.647359519214174
1400000US37001021206,9.4,903.8859581164346,6,10.1,9.6,62623.0,27.003380393716448,8.013521574865779,6.807808922628593,-0.47254883183091545,-0.23369432590764516,0.18178347901472033,0.2717056145324417,-0.12596104749399922,-3.2170221537162247,1.8497199069422416
