GEOID,Asthma_prev,geometry
1400000US37027031402,9.5,POINT (-81.42272129 35.7820939)
1400000US37021002206,7.9,POINT (-82.5052996 35.50194936)
1400000US37041930102,9.5,POINT (-76.5200709 36.05204498)
1400000US37057061100,9.8,POINT (-80.0804296 35.83612715)
1400000US37025040600,9.3,POINT (-80.51114176 35.46100284)
1400000US37053110101,8.0,POINT (-75.84310428 36.40218567)
1400000US37051003309,9.3,POINT (-78.99642721 35.07405431)
1400000US37051003104,10.4,POINT (-78.9579422 34.94103583)
1400000US37057060303,9.3,POINT (-80.34718598 35.9377252)
1400000US37027031300,9.7,POINT (-81.37533795 35.81780682)
1400000US37025041601,8.9,POINT (-80.51961129 35.26283262)
1400000US37021000800,8.4,POINT (-82.53691344 35.58073404)
1400000US37031970304,9.8,POINT (-76.63038509 34.71737765)
1400000US37063000200,9.6,POINT (-78.88538224 36.00893788)
1400000US37063002022,8.7,POINT (-78.92268988 35.91756194)
1400000US37021003203,9.0,POINT (-82.43586643 35.53993563)
1400000US37021000100,9.7,POINT (-82.5532054 35.59488024)
1400000US37057061703,10.3,POINT (-80.37680032 35.77806791)
1400000US37051003304,9.6,POINT (-78.98032126 35.09212787)
1400000US37035011701,8.8,POINT (-81.26974568 35.66462151)
1400000US37033930500,10.0,POINT (-79.4487296 36.3009366)
1400000US37051002504,9.8,POINT (-78.89207804 35.1585686)
1400000US37047930800,9.4,POINT (-78.73197353 34.38056475)
1400000US37045950200,10.9,POINT (-81.52886804 35.41171916)
1400000US37019020308,8.4,POINT (-78.18851908 33.91942304)
1400000US37061090502,10.4,POINT (-77.75847418 34.88687752)
1400000US37063002027,9.4,POINT (-78.88987656 35.91436584)
1400000US37055970602,8.8,POINT (-75.63916424 35.85170856)
1400000US37045951601,10.6,POINT (-81.56758031 35.2024312)
1400000US37035011000,11.2,POINT (-81.29272961 35.71844316)
1400000US37033930300,10.7,POINT (-79.43812364 36.50581694)
1400000US37019020305,8.7,POINT (-78.04374394 33.93210343)
1400000US37031970703,9.2,POINT (-76.86247516 34.79046174)
1400000US37025041502,8.7,POINT (-80.61807517 35.27781159)
1400000US37021001802,8.3,POINT (-82.50041258 35.60899306)
1400000US37013930600,8.5,POINT (-76.87173261 35.51907242)
1400000US37063002024,8.0,POINT (-78.93339833 35.93266673)
1400000US37045950900,12.8,POINT (-81.53940133 35.30847502)
1400000US37059080200,9.0,POINT (-80.51918034 36.01429307)
1400000US37031970804,8.5,POINT (-77.00848152 34.71616758)
1400000US37021003103,8.3,POINT (-82.33853648 35.59180971)
