GEOID,ratio_white,ratio_black,ratio_asian,ratio_hispanic,ratio_other_race,ratio_male,ratio_female,ratio_poverty,ratio_unemployed,ratio_uninsured,med_income
1400000US37009970700,94.26386233269598,0.5162523900573613,0.6692160611854685,3.537284894837476,1.0133843212237097,52.0,48.0,8.2,0.0,8.7,53401.0
1400000US37009970800,94.44019870080244,0.0,0.3247993886129156,4.680932365303783,0.554069545280856,50.4,49.6,18.8,1.3,11.1,40800.0
1400000US37011930100,87.98319327731092,1.8487394957983196,0.5602240896358543,7.450980392156863,2.100840336134454,47.0,53.0,22.0,5.0,15.6,40134.0
1400000US37011930200,96.89097103918228,1.7035775127768311,0.7666098807495741,0.5536626916524702,0.0851788756388415,52.3,47.7,7.0,1.0,17.4,47522.0
1400000US37011930301,90.19065190651908,0.8302583025830259,0.0,8.979089790897909,0.0,44.1,55.9,18.9,1.9,22.9,31180.0
1400000US37011930302,97.31098986749804,0.1948558067030397,0.2338269680436477,1.363990646921278,0.8963367108339828,46.8,53.2,20.8,2.9,12.6,36552.0
1400000US37011930400,81.2478336221837,9.462738301559792,0.5719237435008666,4.852686308492201,3.864818024263432,70.6,29.4,11.5,0.4,10.8,44157.0
1400000US37013930100,62.43726159405741,29.75306163421,0.0,5.741818911865088,2.0678578598674964,48.1,51.9,13.4,3.3,7.6,42730.0
1400000US37013930200,71.22641509433963,21.774193548387096,0.0152160681679853,6.192939744370055,0.7912355447352405,50.3,49.7,18.6,3.2,19.8,50572.0
1400000US37013930300,35.97199784598815,42.03015616585891,0.0,21.24394184168013,0.7539041464728056,46.3,53.7,27.9,6.2,13.7,27050.0
1400000US37013930400,49.93649449618968,42.14648602878916,0.0,4.085520745131245,3.831498729889924,42.6,57.4,30.6,5.2,5.5,30547.0
1400000US37013930501,68.79368658399098,17.13641488162345,0.0450958286358511,13.776775648252537,0.2480270574971815,48.1,51.9,23.4,6.1,17.8,56855.0
1400000US37013930502,69.99482669425763,16.011381272633212,0.0,12.390067252974651,1.1381272633212622,48.0,52.0,11.2,2.7,10.4,47500.0
1400000US37013930600,94.29741650913674,3.4341524889729045,0.4410838059231254,1.0396975425330812,0.7876496534341524,50.1,49.9,5.9,1.2,8.0,62130.0
1400000US37013930700,94.08307210031349,3.761755485893417,0.5877742946708464,1.4498432601880875,0.1175548589341692,50.6,49.4,14.9,1.8,9.9,57578.0
1400000US37013930800,50.19025875190258,38.6986301369863,0.76103500761035,7.876712328767123,2.4733637747336377,41.9,58.1,23.7,3.1,12.7,34674.0
1400000US37013930900,76.07633232487782,20.26995578310449,0.0,2.5599255294391434,1.0937863625785431,46.6,53.4,15.5,2.4,8.7,64432.0
1400000US37013931000,61.397590361445786,28.690763052208837,0.0,8.1285140562249,1.783132530120482,50.2,49.8,17.7,5.1,12.9,41193.0
1400000US37015960100,50.80128205128205,48.13034188034188,0.0356125356125356,0.6054131054131053,0.3739316239316239,45.7,54.3,15.0,5.1,13.1,42672.0
1400000US37015960200,31.343283582089555,63.52137616999747,0.5565393372122439,4.123450543890716,0.4553503668100177,48.4,51.6,27.6,5.5,12.9,38448.0
1400000US37015960300,16.178266178266178,79.45665445665445,0.0915750915750915,2.564102564102564,1.7094017094017095,50.9,49.1,23.7,8.3,11.9,30144.0
1400000US37015960400,31.73680183626626,61.69854628921193,1.897475133894415,2.019892884468248,2.647283856159143,54.2,45.8,21.5,4.4,9.8,32770.0
1400000US37017950100,66.16141732283465,19.291338582677163,0.3346456692913386,11.358267716535432,2.8543307086614176,53.3,46.7,23.6,4.0,13.7,41698.0
1400000US37017950200,58.82542755727654,28.428525330751857,0.0,11.971603743142948,0.5485640529202969,47.0,53.0,27.5,4.8,21.7,36004.0
1400000US37017950300,53.36692624828218,28.8135593220339,0.5038937242327073,16.09406016185677,1.221560543594442,44.9,55.1,29.3,2.7,15.0,32292.0
