GEOID,Depression_prev,Med_income,percent_Poverty,percent_Unemployed,percent_Uninsured,percent_>=HighSch,percent_>=18,percent_Black,percent_Hispanic,Full_Service_Restaurant,Sport_facilities,Parks,Fastfood_Restaurant,Convenience,Supermarket,Warehouse,Fruit,TobaccoStore,DrinkingPlaces,total_visits,share_Full_Service_Restaurant,share_Sport_facilities,share_Parks,share_Fastfood_Restaurant,share_Convenience,share_Supermarket,share_Warehouse,share_Fruit,share_TobaccoStore,share_DrinkingPlaces,mobility_diversity
0500000US45063,22.4,65623.0,11.2,3.0,9.6,90.4,76.8,14.856559133150284,6.31112390863936,1135113.0,264123.0,326490.0,1100815.0,433034.0,435906.0,519690.0,3650.0,28465.0,246851.0,4494137.0,0.2525764123345594,0.058770571524633,0.0726479855865542,0.2449446912722064,0.0963553180510518,0.096994372890724,0.1156373292580978,0.0008121692774385,0.0063338078033669,0.0549273420013675,1.9476105293970092
0500000US45065,17.1,53193.0,15.7,2.6,5.4,83.5,88.4,44.42821368948247,0.8034223706176963,14703.0,907.0,2655.0,12626.0,5904.0,7624.0,8191.0,16.0,352.0,2622.0,55600.0,0.2644424460431654,0.0163129496402877,0.047751798561151,0.2270863309352518,0.1061870503597122,0.1371223021582733,0.1473201438848921,0.0002877697841726,0.0063309352517985,0.0471582733812949,1.871915073363726
0500000US45067,19.1,34465.0,24.1,3.4,13.9,80.4,77.2,56.596248098698666,2.9778604022308603,47885.0,4378.0,10630.0,92669.0,37583.0,30617.0,45835.0,692.0,1472.0,9332.0,281093.0,0.1703528725368472,0.0155749164867143,0.0378166656586965,0.3296738090240596,0.1337030804751452,0.1089212467048272,0.163059912555631,0.0024618186863422,0.0052367010206586,0.0331989768510777,1.8175960846577952
0500000US45069,20.1,32136.0,22.4,3.9,13.2,79.7,79.8,49.82164090368609,3.3219381688466108,27318.0,2628.0,20814.0,37068.0,29378.0,33160.0,32143.0,368.0,4984.0,3385.0,191246.0,0.1428422032356232,0.0137414638737542,0.1088336488083411,0.1938236616713552,0.1536136703512753,0.1733892473568074,0.1680714890768957,0.0019242232517281,0.0260606757788398,0.0176997165953797,1.9661042517104346
0500000US45071,20.6,50950.0,14.2,2.7,9.4,86.2,78.2,30.569208815601712,7.969980445008192,144318.0,9222.0,24638.0,139979.0,74401.0,37524.0,67207.0,168.0,872.0,20780.0,519109.0,0.2780109765001184,0.0177650551232978,0.0474620937028639,0.2696524236720997,0.1433244270471134,0.072285396708591,0.1294660658936755,0.0003236314531244,0.0016798013519318,0.0400301285471837,1.8007100786649857
0500000US45073,21.6,52842.0,16.2,3.3,10.3,86.1,80.1,7.007391058871837,5.717805266129447,236641.0,31494.0,47754.0,244691.0,81857.0,107278.0,118009.0,11199.0,2024.0,21888.0,902835.0,0.2621088017190295,0.0348834504643705,0.0528933858346209,0.2710251596360353,0.0906666223617826,0.1188234838037958,0.1307093765749001,0.0124042599146023,0.0022418271334186,0.024243632557444,1.8723642001192295
0500000US45075,19.2,38052.0,21.8,5.1,10.6,84.3,77.9,61.597710490054055,2.363707027523584,127405.0,12451.0,49497.0,156674.0,92201.0,69623.0,89311.0,216.0,1454.0,41965.0,640797.0,0.1988227160863737,0.0194304904673398,0.0772428709872237,0.2444986477776893,0.1438848808593049,0.1086506335079596,0.1393748722294268,0.0003370802297763,0.002269049324513,0.0654887585303926,1.9297246717973457
0500000US45077,24.5,53188.0,20.5,2.5,9.1,86.6,81.0,6.280040426795868,4.011819437265174,579330.0,118395.0,125692.0,583293.0,209063.0,152694.0,263202.0,8631.0,15333.0,82255.0,2137888.0,0.2709823900971426,0.0553794211857683,0.0587926027930368,0.2728360887006241,0.0977895006660779,0.0714228247691179,0.1231130910506069,0.0040371619093235,0.0071720314628268,0.0384748873654747,1.8917863259509646
0500000US45079,19.8,56137.0,15.9,3.9,9.2,91.8,78.4,46.9006725035506,5.428977211075451,1185546.0,309158.0,410865.0,1077540.0,338006.0,501730.0,455644.0,5634.0,24992.0,253098.0,4562213.0,0.259862045020695,0.0677649202262147,0.0900582677748715,0.2361880078812628,0.0740881672995101,0.1099751370661562,0.0998734605332982,0.0012349269970516,0.0054780432215681,0.0554770239793714,1.9531413726137128
0500000US45081,20.8,46451.0,18.2,2.3,17.6,81.3,78.1,24.49494949494949,15.646043771043772,48975.0,3475.0,9478.0,44369.0,41115.0,13929.0,27356.0,64.0,508.0,8499.0,197768.0,0.2476386473039116,0.0175710934023704,0.0479248412281056,0.2243487318474172,0.2078951094211399,0.070431010072408,0.138323692407265,0.0003236115043889,0.0025686663160875,0.0429745964969054,1.8377684245482206
0500000US45083,23.1,57627.0,12.7,3.1,10.2,87.5,76.6,20.19116408147084,7.319490559492542,1200003.0,204023.0,329163.0,1112621.0,525134.0,429164.0,531768.0,7646.0,46585.0,135852.0,4521959.0,0.2653723751144139,0.0451182772776135,0.0727921239445116,0.2460484493556885,0.1161297570367179,0.0949066543946993,0.1175968203161505,0.0016908600896204,0.0103019509907099,0.0300427314798741,1.9160595980626856
0500000US45085,19.9,49040.0,15.8,4.6,11.4,88.1,75.8,46.017036679079375,4.205160275543174,309974.0,29500.0,98975.0,322745.0,121330.0,111509.0,153486.0,925.0,32944.0,31917.0,1213305.0,0.2554790427798451,0.0243137545794338,0.0815747071016768,0.2660048380250637,0.0999995879024647,0.0919051681151895,0.1265024045891181,0.0007623804402025,0.0271522824021989,0.0263058340648064,1.9059680532644787
0500000US45087,22.6,40048.0,18.7,4.9,11.2,82.8,78.5,29.748040723650483,1.7505310188237015,96103.0,25693.0,22859.0,96931.0,49988.0,23541.0,63952.0,217.0,1240.0,5431.0,385955.0,0.2490005311500045,0.0665699369097433,0.0592271119690119,0.2511458589731963,0.1295176898861266,0.0609941573499501,0.1656980736096177,0.0005622417121166,0.0032128097835239,0.0140715886567086,1.8567974706450827
0500000US45089,19.3,40124.0,20.6,2.2,9.8,83.9,79.2,64.13568208702324,2.295469804021868,46907.0,2524.0,36738.0,64854.0,29031.0,29679.0,33673.0,256.0,1971.0,3746.0,249379.0,0.1880952285477125,0.0101211409140304,0.1473179377573893,0.2600619939930788,0.1164131703150626,0.1190116248761924,0.1350274080816748,0.0010265499500759,0.0079036326234366,0.0150213129413463,1.8755838537103309
0500000US45091,20.6,72234.0,8.4,3.3,8.5,91.6,75.7,18.790970788483165,6.031044694090806,1279566.0,282972.0,548982.0,912128.0,380148.0,345703.0,456111.0,9185.0,58598.0,246081.0,4519474.0,0.2831227704816976,0.0626117110088474,0.1214703303968559,0.2018217164209817,0.0841133282324447,0.0764918660888413,0.1009212576507797,0.0020323161500652,0.0129656681286362,0.0544490354408499,1.973534219736076
