GEOID,bw,bw_criterion,kernel,fixed,centroid_x,centroid_y,b_Intercept,se_scaled_Intercept,t_Intercept,b_Med_income,se_scaled_Med_income,t_Med_income,b_percent_Poverty,se_scaled_percent_Poverty,t_percent_Poverty,b_percent_Unemployed,se_scaled_percent_Unemployed,t_percent_Unemployed,b_percent_Uninsured,se_scaled_percent_Uninsured,t_percent_Uninsured,b_percent__HighSch,se_scaled_percent__HighSch,t_percent__HighSch,b_mobility_PC1,se_scaled_mobility_PC1,t_mobility_PC1,b_percent__18,se_scaled_percent__18,t_percent__18,b_percent_Black,se_scaled_percent_Black,t_percent_Black,b_percent_Hispanic,se_scaled_percent_Hispanic,t_percent_Hispanic,gwr_localR2,gwr_pred,gwr_resid
0500000US45021,43,AICc,bisquare,False,552979.5889487623,356698.24632573576,44.82741571217555,0.10266255450179657,1.9712318669834186,-9.299512405022772e-05,0.3334748215453806,-1.9804020386122614,0.13101662100306163,0.20516661147129453,1.7460737645738456,-0.2841001702468593,0.1347099218377956,-1.3641546511215403,-0.010008814980630528,0.17546462866486673,-0.07835317847120281,-0.004512227575196009,0.2620579988199517,-0.04633436871147483,-0.3866954850877635,0.320833654512879,-1.4149368350476796,-0.20241153237995801,0.13284657764316674,-2.3633457170334586,-0.1053028696373317,0.13542824346075039,-8.116391929341374,-0.12792717406464654,0.13783378717687544,-1.7583264230126214,0.8293021551492258,22.78214735448763,-0.5821473544876312
0500000US45005,43,AICc,bisquare,False,576127.5270000092,128113.94411442436,47.75891809328567,0.10662374682408951,-0.5262248609490778,-3.878806034258058e-05,0.35718576680666964,-0.77118780492929,-0.025153154056589407,0.26199864447157445,-0.26250421699914606,-0.09262604617795656,0.12211526246871868,-0.49063087805375316,0.06663797792990077,0.18736528008510278,0.48853561837665566,-0.03497527266230643,0.2910130835547907,-0.3234135931392716,0.17756444543989475,0.3391781445193037,0.6145765976274643,-0.24631742400595716,0.14345945570955923,-2.6632278847849524,-0.07241108932079918,0.20426514520690223,-3.700350504839248,-0.14268404916121327,0.12099807746757624,-2.2340317492452697,0.8363949162247795,18.198606542312035,-0.0986065423120337
0500000US45017,43,AICc,bisquare,False,629984.6379028962,204243.1837188563,53.54009125253435,0.09114206253856842,-0.0789866257222473,-7.914597214197621e-05,0.3030449771822777,-1.8547183258956355,0.004547994487262222,0.24072418546873317,0.051658653488467876,-0.13244265258921897,0.1090425162823312,-0.7856402113172585,-0.07033661130055381,0.15428951760432677,-0.6261935053590871,-0.06956304308986223,0.25064251311121555,-0.7468502163773082,-0.18705274888966267,0.28978594001868024,-0.7577651955133308,-0.2408466430523649,0.12257291023350061,-3.0478141001584556,-0.08057476737184932,0.17337923241878025,-4.8510308210180835,-0.08654653827465925,0.11849860456142286,-1.3836582936956041,0.8388510760376751,19.426632364955697,0.27336763504430195
0500000US45057,43,AICc,bisquare,False,636601.163022739,316466.0189920472,47.88667466753735,0.09953234916241734,1.7519529411730586,-0.00012198680029607467,0.32362364015669026,-2.6768795925137687,0.09152543439309761,0.24711002460700585,1.012731487129228,-0.3094418371431714,0.1439392786027003,-1.3905653623083734,-0.09557988051039307,0.1636658942181349,-0.8021800090429887,-0.03056229485404472,0.27511960961029824,-0.2989331579361841,-0.5412921955319054,0.34431835788754783,-1.8455229764357854,-0.17676281803334673,0.1211623378189312,-2.2629014792064184,-0.10540138322083252,0.16046841510731427,-6.856283968527017,-0.07839082209553445,0.14947150319461255,-0.9935716752221129,0.839329779003823,20.858031817179487,0.14196818282051282
0500000US45051,43,AICc,bisquare,False,794815.5984124306,233336.74465281898,58.31388660458032,0.09844941772185939,-1.0784914035987656,-0.00012636742356232468,0.3508290700294684,-2.5579720464722997,-0.009906446881496455,0.2518147947162894,-0.10756712247113184,-0.14709576851270173,0.12021251966873259,-0.7914840689253556,-0.14590982262608915,0.1665108854816948,-1.2036644625245267,-0.06250729271290788,0.25983039661454405,-0.6473667782398137,-0.33724880545929503,0.31632718800903625,-1.251589090255002,-0.26326412345683836,0.13110451548525168,-3.1147012955115834,-0.08706161690548905,0.18443080762861291,-4.927484990545123,-0.0964051177667384,0.1214402791944082,-1.5039372553605723,0.8088647169010276,20.510808143559043,0.4891918564409572
0500000US45053,43,AICc,bisquare,False,606623.5405222309,66968.82948430575,45.58680087302736,0.11025747198952066,-1.2736647338179623,-5.346719992262909e-05,0.3809895545406738,-0.9966223153152912,-0.035656101273332144,0.26536730981781526,-0.3673916748990107,-0.06824757677057092,0.11417537195842163,-0.38663974782795013,0.0740593697481908,0.1886308598694235,0.539300479749895,-0.020856542048152755,0.2888429523989787,-0.19430778681794583,0.11957455723421337,0.3477617712603888,0.4036498651555614,-0.22656780580378227,0.13615823285629336,-2.581051478832614,-0.06957530360565985,0.21268231623600148,-3.4147253469199925,-0.1573512755277165,0.12328825522619473,-2.4179145381468348,0.8008158048306981,18.140859171485147,0.3591408285148532
0500000US45049,43,AICc,bisquare,False,596411.3285739848,104582.87199551564,46.00699550419058,0.11139768500290542,-1.0072207073358277,-4.521318691951886e-05,0.37711284884714347,-0.851432112002089,-0.02955131955648103,0.2669178397669185,-0.30272072512581133,-0.08484239148922998,0.1172870165954626,-0.46790174036701804,0.07116628478769374,0.1930834942067922,0.5062822294540622,-0.023891419660296998,0.2953162954903145,-0.21770290299828202,0.15209358483930127,0.34910713803251925,0.5114462952816433,-0.234346544605684,0.14329902659445864,-2.5366332921907024,-0.06883533393919036,0.21505364904717744,-3.341155257975246,-0.14867338892926538,0.12437524601460097,-2.264600889333153,0.8117951904854367,19.614089389061384,-0.4140893890613846
0500000US45091,43,AICc,bisquare,False,592756.8986247525,348416.53741484357,41.0242397298544,0.10498587899637428,1.948821668655558,-0.0001053590845324351,0.33096231449693203,-2.2607351084370597,0.12250469244847294,0.20484532015693482,1.635195020135922,-0.29189273069193894,0.13947747046522674,-1.3536641121298527,-0.011899847239986194,0.17572224603148875,-0.0930203951213019,0.01745066196615134,0.2707691618517626,0.1734292638263685,-0.4295880314334754,0.33067085009510655,-1.5251204019716134,-0.1667122225694147,0.12712154579338292,-2.0341859498280384,-0.10850989240792054,0.13772880428853743,-8.223876982240574,-0.11890360857963886,0.1436110520693991,-1.5685542963172099,0.8276999526075186,20.920827921990707,-0.32082792199070553
0500000US45071,43,AICc,bisquare,False,554353.7991043848,272574.18886732723,44.97004261043118,0.09805201491221134,2.183444782353247,-7.829738745812911e-05,0.3331197572812593,-1.6691797805728668,0.10030340920285742,0.20275561319885194,1.3526507769124971,-0.16879701273536207,0.12914083795629333,-0.8454595899716049,0.011334028675017068,0.1701760204433458,0.091484913721451,-0.022519140236650553,0.2631484807751985,-0.23028232930086645,-0.30075983073326557,0.3142877412913676,-1.1234151062789077,-0.19639369642771762,0.14853528232432284,-2.050880200394339,-0.10371675392785566,0.13832844033364153,-7.826534162298191,-0.12476254373819129,0.12914310090637104,-1.83022884591856,0.8513960956184878,20.440687640072685,0.1593123599273163
0500000US45063,43,AICc,bisquare,False,584439.591303092,229462.48395671646,47.64983580562553,0.10372460679341425,1.7844939796774126,-7.97249713441773e-05,0.3210614045465501,-1.7634473833912365,0.02539898711600255,0.24780334233074683,0.28025419116498596,-0.09471301809366725,0.1294037101806747,-0.4734287695972521,0.012458385966601536,0.16930068050055258,0.1010803220378713,-0.05229335529283766,0.2728784051876202,-0.5156879879349809,-0.3086175962919864,0.33267853837040623,-1.0890398436202804,-0.19040185305085855,0.15288591177657962,-1.9317284552468528,-0.09533747927788043,0.1782024649550248,-5.584470581659141,-0.10531271521431777,0.1280633713548969,-1.5579311633316508,0.8665655999708081,21.546862961854565,0.8531370381454337
0500000US45061,43,AICc,bisquare,False,678334.4931688448,258630.58954742353,59.22997053356325,0.09548976752791777,0.3050414823822017,-0.0001267169836662862,0.33865068939215703,-2.6572908858922477,0.025472276656793247,0.25267022992566657,0.2756490915818684,-0.21339278386711485,0.1275496220573962,-1.0821619293938682,-0.19906971944288268,0.16076810730821656,-1.7008610847063623,-0.08694930076023846,0.25273188161633736,-0.925796934309171,-0.4806113351134721,0.3120970026022261,-1.8078079051470635,-0.2488383893486861,0.12929136647754988,-2.985315461011111,-0.0862990933064782,0.17369373701310956,-5.186258066039559,-0.002049748717970472,0.15008332010708877,-0.025873821651430196,0.838710585146563,18.587757510705853,0.01224248929414884
0500000US45055,43,AICc,bisquare,False,647288.5353559876,277913.385728418,55.5500333041041,0.09307650566939815,1.240743140173565,-0.00012197366342545614,0.3100639638993089,-2.7936436543307397,0.0445891435458098,0.24947291417317144,0.4887070549936379,-0.2433895330280855,0.1272547278700569,-1.2371423362680742,-0.14278316651733847,0.1555060446084882,-1.261227040599948,-0.07601360810376652,0.25507006289438633,-0.8019393671937737,-0.5202702483969289,0.31549062580147885,-1.9359333502970035,-0.21981787361542307,0.11824823567563406,-2.8834385933646227,-0.09434959405469528,0.16434302626859118,-5.992676106419694,-0.039832789244623405,0.14264861274505916,-0.5290120336311587,0.8487582115397017,20.96007021861427,-0.0600702186142712
0500000US45019,43,AICc,bisquare,False,707505.1955618554,111543.14074703939,51.529451821984765,0.0954290580294046,-1.640384043967383,-9.157458121248518e-05,0.3388157312879308,-1.9194093682188054,-0.03379391779300494,0.23663717676962792,-0.3904796866436709,-0.06997828246622605,0.10921068099719031,-0.41446690885775067,-0.023713669264491047,0.15499791142000158,-0.2101534149350431,-0.042172915978682654,0.24800473760022418,-0.4575971687874664,-0.11757398789688497,0.30601314802009366,-0.4510441265480859,-0.238340280882615,0.11939774562651008,-3.096304714501219,-0.0778564281182464,0.18400624065600596,-4.416660043797901,-0.15169137543933786,0.1186760687461708,-2.4215315010973075,0.7950558391906758,19.0221364358998,0.17786356410019977
0500000US45025,43,AICc,bisquare,False,686733.5460716415,311549.9689357803,59.58916628287822,0.0980915486903369,0.6324444006615807,-0.00013489669372673192,0.34001501208635615,-2.8174709620393736,0.05040144351495162,0.274258801349095,0.5024875195532748,-0.27507165048843263,0.14645859539163167,-1.2148500247081695,-0.21250309374074067,0.16633316297402445,-1.7548902064112133,-0.08013709861200995,0.2666847162693081,-0.8086212739418643,-0.5443883079802104,0.33355063401849006,-1.9159972796791118,-0.2520064595804498,0.12807888547199983,-3.0519436265125006,-0.0936062207271484,0.17431713863439466,-5.605271747675251,-0.006874432002798367,0.15784741702885002,-0.08250717668513209,0.8396952014945219,20.464179024229505,-0.8641790242295038
0500000US45007,43,AICc,bisquare,False,459236.5379646862,299052.097953115,53.476156313490236,0.0997316062727913,2.053829591857091,-5.9251991839562e-05,0.3517203052279315,-1.1963596263379397,0.15161168878141107,0.22063843609928613,1.8788598802115797,-0.2927410584356312,0.14844415834664607,-1.2755932878307397,-0.028889765232908832,0.18120576987396667,-0.21899567086135457,-0.06064397702130246,0.2729145521113669,-0.59795796669029,-0.2518490986936681,0.33101419927512715,-0.8931854641494773,-0.27549176909194834,0.15786642281637855,-2.7068315748150713,-0.10034362999476858,0.14584142915963863,-7.18192632866156,-0.14318963819252156,0.1326465129178556,-2.0450698190779755,0.8434175736855977,22.400376397236194,-0.4003763972361938
0500000US45041,43,AICc,bisquare,False,729380.2306299476,243730.16954477126,58.649904216274805,0.09554254497753616,-0.6392473607268438,-0.00012448522490435425,0.34147947679312124,-2.588865192304916,0.0015879285143566338,0.24716586764550416,0.01756650359167978,-0.16881278752127257,0.12041891553056476,-0.906780824815245,-0.16652179017502172,0.161477878041437,-1.4165163006572632,-0.07167434792745228,0.252578441190017,-0.7636197410082936,-0.3677790984580168,0.308097025160217,-1.4013525508034774,-0.2592375108087478,0.12838245120473166,-3.132092311122267,-0.08620155765741193,0.17896177049950066,-5.027903056582035,-0.05859146131359125,0.12529458835289542,-0.8859197863193141,0.8189083382479374,20.032821976283056,-0.23282197628305568
0500000US45045,43,AICc,bisquare,False,484337.33553185285,340239.38566796866,50.57631270425463,0.09966618996432763,2.0239383179294053,-7.437201489541998e-05,0.3416788749036135,-1.545779896068902,0.1453506744251683,0.2136309233349868,1.8603549398459702,-0.29274100966341815,0.13948852397672767,-1.3574904591349353,-0.023737771097436685,0.17695980618825505,-0.18425905645516377,-0.04146350536259516,0.26638991615106905,-0.4188494110343064,-0.3219501049187072,0.32557601665688607,-1.160871195041668,-0.2489201053983621,0.14693601564577377,-2.627689774629624,-0.10200284662009831,0.13957696779477555,-7.628349493055397,-0.13670828706017976,0.1339053433342729,-1.9341462924044912,0.8364466943221381,21.018465560562362,-1.3184655605623625
0500000US45083,43,AICc,bisquare,False,519085.91195855936,343947.89475145005,47.68787665408223,0.10002687206912086,2.014608818252347,-8.344053822312345e-05,0.33488420904984195,-1.769451497640633,0.13447463462857978,0.20685236185156883,1.7775538529847104,-0.27299267986092446,0.13314759200447973,-1.3262010992477413,-0.014735132815247656,0.17418211063406067,-0.11620211833581098,-0.025010562337393308,0.2617110820730946,-0.25716450120539497,-0.35276482345011095,0.31957619251195957,-1.2958619068016783,-0.22377848470321335,0.13959065996136708,-2.4865909133243753,-0.1035406310849925,0.13608821372711807,-7.941862131827112,-0.131281832386906,0.13427259141278078,-1.8522928246270836,0.834990767638513,21.406387494836004,1.6936125051639976
0500000US45075,43,AICc,bisquare,False,628197.1734898525,178100.53890874216,51.539223216199275,0.09562999007937553,-0.6549378733752063,-6.71733864725961e-05,0.32282560003181576,-1.477697409123643,-0.008720477792203276,0.24532128286715393,-0.09719589685469757,-0.11018264810374556,0.10900978887825097,-0.6537917041980067,-0.027698640868522025,0.15937178926406548,-0.2387319525975459,-0.05489670346984805,0.255308403042999,-0.5786165242479364,-0.06070121017647216,0.30057405222377326,-0.23707935262255903,-0.2443679105896827,0.12521619547618945,-3.0270949627764225,-0.07620309655019335,0.1848207807705978,-4.3038177107858555,-0.11489169440809037,0.11579587525529919,-1.8796973534001804,0.8247201618629348,19.271570286784684,-0.07157028678468436
0500000US45085,43,AICc,bisquare,False,666709.1875011893,231151.8551751757,57.23595058629411,0.0892500407241773,-0.11905463368802824,-0.00010927630943388486,0.3113842471453797,-2.492215637938965,0.007721434961287501,0.23489357761784885,0.08988138443584014,-0.1663860137320834,0.1134597632165568,-0.9485640091823777,-0.14577229020688362,0.14949221006130012,-1.3394297900061958,-0.08009192252477267,0.24111777392037073,-0.8938593110805386,-0.34707718384973935,0.29023878098944367,-1.403842845903669,-0.24663587795088715,0.11907292549275622,-3.212814147655838,-0.0841340112945284,0.16827391204504502,-5.218994673487712,-0.04924817166812593,0.1244332454962572,-0.749801092094687,0.8336379156670133,19.83660951593897,0.06339048406102776
0500000US45067,43,AICc,bisquare,False,760708.8777759495,250330.5666102225,58.946325640927924,0.09817170026919475,-0.7660270033304409,-0.00012888162180510284,0.3533078597066257,-2.5905616320031095,0.0006322747140967087,0.25382817204194347,0.006810968470192327,-0.1696924844058245,0.12313967474237172,-0.8913664920470018,-0.16995538199092788,0.1664609341674461,-1.4024459534544855,-0.06787537728032833,0.25895807193900666,-0.7053301994145855,-0.3745993128718018,0.31632228247624183,-1.3902248917327926,-0.26313336751648597,0.13179044426826084,-3.096951298353271,-0.08714296027439468,0.18321833407808863,-4.964727639822455,-0.06385675962899795,0.1274054102894067,-0.9495359045950473,0.8148852909644304,19.590039648509286,-0.49003964850928483
0500000US45047,43,AICc,bisquare,False,505793.71520932246,257874.87977243212,50.28058242468542,0.09550524925696925,2.0358682618767063,-5.9707962748199795e-05,0.3322851113027241,-1.276079131241979,0.11653868917445616,0.20698180143297576,1.5395040811565688,-0.19487518235727921,0.1364603560019598,-0.9237229480059899,-0.006722498324954975,0.1720379208151975,-0.05367475326681223,-0.05216124823066288,0.26152821573703466,-0.536709274427196,-0.21597002432894397,0.31405103053023314,-0.8073114719265372,-0.243721703616627,0.1485585317167302,-2.5447140102534194,-0.10200080711408886,0.1408749600788544,-7.55791236310846,-0.13705039849891607,0.12645574516495733,-2.0532135555058466,0.8554163638749542,20.951809133824327,0.048190866175673364
0500000US45087,43,AICc,bisquare,False,552877.2351877944,316916.15794158506,44.83526060758822,0.09908304167894971,2.087899216623851,-8.864986538193848e-05,0.3272037939610941,-1.9240483669324577,0.11789712397724454,0.19874217070876304,1.6220194590469945,-0.23127830016806394,0.12561878046950475,-1.190890997172482,-0.00308985537113548,0.1699611586952489,-0.024971924180348198,-0.013248415175922616,0.25821276640352175,-0.13806890932853436,-0.3621657035616446,0.3124667834352541,-1.3606653761746996,-0.1967146986664451,0.13559435134028652,-2.2502853259667024,-0.10480552330778577,0.133622790705104,-8.187205334282087,-0.12445376126012878,0.13240638824620432,-1.7807029271370853,0.8397183775343986,22.32145405766512,0.2785459423348797
0500000US45029,43,AICc,bisquare,False,640803.0450460104,114288.42801916746,47.60704548360502,0.10332592594802971,-1.4064815456427369,-6.580695659890495e-05,0.36081098414885787,-1.295234164887335,-0.029522332368262637,0.2524319652728712,-0.31977845138054434,-0.07005405516360926,0.10991043103083589,-0.41227411420609433,0.02903890333939761,0.16927507680253107,0.23564093149683057,-0.029133316360290856,0.26487074997526355,-0.2959822034247875,0.020729455986338453,0.3239130668454209,0.0751289477646972,-0.2298886255337848,0.12636882992405638,-2.8217588350059737,-0.07176678831779847,0.20039838863328657,-3.7381896925700815,-0.15052126914504596,0.11970636758813077,-2.382171388371689,0.7956745414635509,21.104893908596814,-0.7048939085968158
0500000US45065,43,AICc,bisquare,False,488480.8142807188,229887.60157107652,52.759315087794846,0.09116944312772429,1.7453193379521887,-5.296832587052386e-05,0.3141440658614916,-1.1974120431787847,0.10514481220098376,0.20245712702259944,1.4200304531255346,-0.17213125723466408,0.1322893551385631,-0.8416403332474367,-0.017105338036486385,0.1662369443316467,-0.1413408351276716,-0.06866370426012153,0.25599756291881565,-0.7217737335786433,-0.14355988075830092,0.3026567982864993,-0.556840128401035,-0.2593462577499896,0.1375166426133378,-2.9252776903056183,-0.1019797726965508,0.13910514967048826,-7.652491947589246,-0.13960858355648006,0.12063399893921889,-2.192475663903074,0.8633446165932108,17.69699357607388,-0.5969935760738778
