GEOID,Depression_prev,Med_income,percent_Poverty,percent_Unemployed,percent_Uninsured,percent_>=HighSch,percent_Black,percent_Hispanic,percent_>=18,SES_index
0500000US45067,19.1,34465.0,24.1,3.4,13.9,80.4,56.596248098698666,2.9778604022308603,77.2,-1.1285281056612457
0500000US45069,20.1,32136.0,22.4,3.9,13.2,79.7,49.82164090368609,3.3219381688466108,79.8,-1.1578796662570636
0500000US45071,20.6,50950.0,14.2,2.7,9.4,86.2,30.569208815601712,7.969980445008192,78.2,0.4628051219631071
0500000US45073,21.6,52842.0,16.2,3.3,10.3,86.1,7.007391058871837,5.717805266129447,80.1,0.19642420172520908
0500000US45075,19.2,38052.0,21.8,5.1,10.6,84.3,61.597710490054055,2.363707027523584,77.9,-0.8002098967619403
0500000US45077,24.5,53188.0,20.5,2.5,9.1,86.6,6.280040426795868,4.011819437265174,81.0,0.2950946853283838
0500000US45079,19.8,56137.0,15.9,3.9,9.2,91.8,46.9006725035506,5.428977211075451,78.4,0.5241428902738399
0500000US45081,20.8,46451.0,18.2,2.3,17.6,81.3,24.49494949494949,15.646043771043772,78.1,-0.7213561437922367
0500000US45083,23.1,57627.0,12.7,3.1,10.2,87.5,20.19116408147084,7.319490559492542,76.6,0.5613202882401034
0500000US45085,19.9,49040.0,15.8,4.6,11.4,88.1,46.017036679079375,4.205160275543174,75.8,-0.11741446111820246
0500000US45087,22.6,40048.0,18.7,4.9,11.2,82.8,29.748040723650483,1.7505310188237015,78.5,-0.7069712042012347
0500000US45089,19.3,40124.0,20.6,2.2,9.8,83.9,64.13568208702324,2.295469804021868,79.2,-0.07864561764741143
0500000US45091,20.6,72234.0,8.4,3.3,8.5,91.6,18.790970788483165,6.031044694090806,75.7,1.3382976421000627
