GEOID,Depression_prev,Med_income,percent_Poverty,percent_Unemployed,percent_Uninsured,percent_>=HighSch,percent_>=18,percent_Black,percent_Hispanic,Full_Service_Restaurant,Sport_facilities,Parks,Fastfood_Restaurant,Convenience,Supermarket,Warehouse,Fruit,TobaccoStore,DrinkingPlaces,total_visits,share_Full_Service_Restaurant,share_Sport_facilities,share_Parks,share_Fastfood_Restaurant,share_Convenience,share_Supermarket,share_Warehouse,share_Fruit,share_TobaccoStore,share_DrinkingPlaces
0500000US45021,22.2,41330.0,16.6,4.0,12.1,83.3,76.9,19.717457832182763,4.739876165397481,175004.0,18339.0,68119.0,219450.0,112868.0,69135.0,90864.0,7197.0,8798.0,10785.0,780559.0,0.2242034234439677,0.0234947005927803,0.08726950813455485,0.2811446668349222,0.1445989348659102,0.08857113940137773,0.11640888132735643,0.009220315184374276,0.01127140933612962,0.013817020878626728
0500000US45023,20.6,46441.0,16.7,3.2,11.3,84.6,77.4,36.99377188361789,2.2371641929786508,88842.0,5468.0,33928.0,78698.0,47306.0,29917.0,73371.0,196.0,2574.0,10529.0,370829.0,0.2395767321326002,0.01474534084443234,0.09149230507862115,0.21222180573795468,0.12756823225799493,0.08067599891054907,0.19785669405575076,0.0005285455021047437,0.006941204706212297,0.02839314077377983
0500000US45025,19.6,45046.0,19.1,4.6,12.1,80.0,77.8,31.04340854426756,4.6340625357920056,100082.0,7067.0,24823.0,95635.0,70742.0,45499.0,80010.0,1627.0,2741.0,6312.0,434538.0,0.2303181770063838,0.01626324970428363,0.057125038546686366,0.22008431943811588,0.1627981902618413,0.1047066079376257,0.18412658961931982,0.0037442064905715954,0.0063078487957324795,0.014525772199439405
0500000US45027,18.9,45542.0,18.4,5.2,10.4,79.8,80.7,46.15506279062412,3.2739695694809097,70028.0,6164.0,22935.0,93319.0,42033.0,32020.0,55972.0,3451.0,3107.0,15435.0,344464.0,0.20329555483301592,0.01789446792698221,0.06658170374843235,0.27091074829300016,0.12202436248780714,0.09295601281991732,0.16249012959264247,0.010018463467880533,0.009019810488178735,0.04480874634214316
0500000US45029,20.4,41419.0,17.0,3.4,14.0,86.0,77.5,35.92159916926272,3.6292834890965735,77124.0,9263.0,65986.0,79203.0,38642.0,39227.0,58903.0,379.0,1730.0,9212.0,379669.0,0.20313483587019218,0.02439756735472214,0.1737987562850799,0.2086106582312488,0.10177812779025941,0.10331894360614113,0.15514303248355804,0.0009982379388361968,0.00455660061790665,0.024263239822055527
0500000US45031,21.4,40704.0,19.2,3.3,8.7,84.8,77.6,41.31130484132864,2.263805905443539,169444.0,35647.0,69890.0,178013.0,144102.0,66385.0,123170.0,6563.0,3126.0,15666.0,812006.0,0.2086733349260966,0.0438999219217592,0.08607079258035039,0.2192262126141925,0.17746420592951284,0.08175432201239892,0.15168607128518755,0.008082452592714832,0.0038497252483356034,0.019292960889451555
0500000US45033,21.2,39780.0,26.1,3.6,13.5,78.7,74.6,47.351631787429454,2.941073369088933,43624.0,6990.0,14268.0,65497.0,43949.0,39604.0,45567.0,792.0,1657.0,15217.0,277165.0,0.15739361030433136,0.025219634513737304,0.05147836126495048,0.23631050096512907,0.1585661970306496,0.14288961448956397,0.16440387494813558,0.0028575036530586475,0.005978388324644165,0.05490231450579979
0500000US45035,20.5,68046.0,10.4,3.5,11.1,90.4,75.5,24.498688974903235,5.875265326507679,458147.0,97414.0,422963.0,304453.0,112661.0,190280.0,294670.0,820.0,18891.0,100675.0,2000974.0,0.22896199550818752,0.0486832912371675,0.21137855864194138,0.15215240178033299,0.05630308039984527,0.09509368937327521,0.1472632827812855,0.0004098004271919575,0.009440902280589353,0.05031299757018332
0500000US45037,19.7,55183.0,15.6,3.5,9.0,82.1,82.1,34.050427943557715,6.264939471046341,69423.0,5643.0,18725.0,60551.0,16430.0,27497.0,38354.0,60.0,2230.0,4099.0,243012.0,0.28567725050614784,0.023221075502444323,0.0770538080424012,0.24916876532846113,0.06760982996724442,0.1131507909074449,0.15782759699109508,0.00024690138758579825,0.009176501571938835,0.01686747979523645
0500000US45039,18.7,41755.0,16.5,3.3,7.6,84.5,81.2,56.83470216180496,2.407250070801473,35088.0,2855.0,11709.0,44348.0,22451.0,21695.0,23240.0,144.0,464.0,3829.0,165823.0,0.2115991147187061,0.01721715322964848,0.07061143508439723,0.2674417903427148,0.13539135101885746,0.13083227296575264,0.14014943644729622,0.0008683958196390127,0.0027981643077257074,0.02309088606526236
0500000US45041,19.8,51902.0,16.9,2.7,10.3,86.3,76.2,42.74818613595967,2.869401789096419,486707.0,50156.0,106984.0,473123.0,241927.0,201482.0,275388.0,8612.0,21925.0,64339.0,1930643.0,0.25209580435119283,0.025978909617158635,0.055413662702011715,0.24505980649969983,0.12530902916800257,0.10436004999370677,0.1426405606836686,0.004460690039536051,0.011356320148261486,0.03332516679676149
0500000US45043,19.2,55719.0,15.8,3.6,10.8,89.7,82.0,30.4498983997968,3.2004064008128017,205018.0,24728.0,261608.0,161931.0,50246.0,73072.0,91346.0,802.0,9896.0,25143.0,903790.0,0.22684251872669536,0.027360338131645626,0.2894566215603182,0.17916883346795162,0.055594773122074816,0.08085064008232001,0.10106993881321988,0.0008873742794233174,0.01094944622091415,0.027819515595436994
0500000US45045,19.7,65513.0,10.2,2.5,10.4,89.7,76.8,16.930802152633586,9.657959312605696,2293243.0,342330.0,690321.0,2205387.0,543690.0,541486.0,722357.0,40934.0,167954.0,404753.0,7952455.0,0.28836918913719095,0.043047084202299794,0.08680602405169222,0.27732153152705674,0.0683675669966067,0.0680904198766293,0.09083446558326957,0.005147341292720298,0.021119767417734525,0.0508966099147999
0500000US45047,21.0,44513.0,14.5,3.3,8.8,86.0,77.2,31.835357235570683,6.361591046756468,250624.0,13515.0,39947.0,222424.0,161258.0,78100.0,125181.0,521.0,7833.0,21334.0,920737.0,0.272199335966731,0.014678458669522351,0.043385896298291475,0.241571697455408,0.17514013230705403,0.08482335346575624,0.13595739065552923,0.0005658510519290524,0.008507315335432376,0.02317056879434627
0500000US45049,19.2,38298.0,18.4,5.6,10.3,81.5,78.3,52.72793467519634,4.311645082436157,28073.0,4484.0,11436.0,30920.0,23274.0,17996.0,18597.0,12.0,781.0,2830.0,138403.0,0.2028351986589886,0.03239814165877907,0.08262826672832237,0.22340556201816433,0.16816109477395721,0.13002608324964054,0.1343684746717918,8.670332290485033e-05,0.005642941265724009,0.020447533651727204
0500000US45051,21.0,54688.0,13.9,3.3,14.2,91.1,82.1,12.6046423963,6.205616690589071,2327711.0,295719.0,1020189.0,1603455.0,506204.0,552987.0,887881.0,16751.0,73417.0,321289.0,7605603.0,0.3060521302518683,0.03888172969322748,0.13413650436395377,0.21082549273213447,0.06655672140657355,0.07270784446677009,0.1167403820578066,0.002202455216239922,0.009653015020636759,0.042243724790789104
0500000US45053,18.5,47811.0,15.7,4.2,13.9,88.8,80.1,38.962733138243486,13.792617142051265,57766.0,18203.0,32637.0,49043.0,19828.0,26235.0,35645.0,104.0,1828.0,8024.0,249313.0,0.23170071356086525,0.07301263873123343,0.13090773445428036,0.19671256613173,0.07953054995126609,0.10522916975849635,0.14297288950034695,0.0004171463180820896,0.007332148744750575,0.03218444284894891
0500000US45055,20.9,56449.0,13.7,3.2,10.1,89.8,76.7,23.196233208696857,4.930065087937958,273945.0,33667.0,76720.0,211817.0,144888.0,92097.0,127563.0,876.0,4983.0,18477.0,985033.0,0.2781074339641413,0.03417855036328732,0.07788571550394759,0.21503543536104883,0.14708948837247077,0.09349636002042572,0.12950124513594977,0.000889310307370413,0.0050587137689803285,0.01875774720237799
