GEOID,nearest_hw_dist_m,hw_count_5km
1400000US37081016204,1670.4658847697438,31
1400000US37183054500,848.5675454883593,33
1400000US37081010300,818.8384493466788,36
1400000US37119006204,3120.623337176598,5
1400000US37101040901,3384.2153453741234,1
1400000US37189920601,344.84477861135406,11
1400000US37051003313,2087.792284317209,3
1400000US37097060500,1026.6873127137308,18
1400000US37101040202,5628.233953932144,0
1400000US37101040203,4495.196407031039,1
1400000US37119005404,1148.5077636037522,38
1400000US37101041503,6478.769001360368,0
1400000US37105030502,3435.1220116215513,3
1400000US37097061103,4422.111840659184,1
1400000US37135012202,2807.4657765699485,12
1400000US37133000402,3564.0733780766395,1
1400000US37101041103,5331.647600400574,0
1400000US37101041202,5627.311711975738,0
1400000US37151030302,1473.3296977388027,13
1400000US37101041001,666.2532477367026,6
1400000US37075920200,5345.679111247005,0
1400000US37179021008,2483.935293880203,2
1400000US37123960100,3401.3216750524784,1
1400000US37119003105,1651.1103584031223,23
1400000US37029950101,9053.442224769931,0
1400000US37089930200,8572.513860534853,0
1400000US37071031302,1900.3865555307955,10
1400000US37119001508,1025.5213647226017,21
1400000US37151030502,3818.5776494264205,1
1400000US37097060703,3062.1736212294586,2
1400000US37179021011,277.53171420441515,2
1400000US37081012503,884.2730029027022,27
1400000US37081015600,5184.681176188991,0
1400000US37057060302,1545.5449934574447,2
1400000US37057060601,4588.3089911270035,4
1400000US37057061804,6413.392281640716,0
1400000US37119001912,1107.7454564670547,29
1400000US37155961900,18768.81327946138,0
1400000US37111970700,6024.22581407554,0
1400000US37111970700,6024.22581407554,0
1400000US37111970600,2033.5274566858782,4
1400000US37081012509,1444.7745003262658,45
1400000US37081012508,540.5580996502973,38
1400000US37119001801,422.18700770019075,43
1400000US37119005620,1742.988992433671,8
1400000US37191001102,2954.3818101246584,3
1400000US37191000401,7973.301130805188,0
1400000US37019020103,2834.3745337264004,6
1400000US37179021010,4438.557962665404,2
1400000US37179021012,2855.678133223629,3
1400000US37081016304,3202.201491388308,10
1400000US37021003204,9619.514148295471,0
1400000US37119005715,4144.095483474818,1
1400000US37119005830,1631.3599654795703,15
1400000US37119006404,2222.603230560412,2
1400000US37031970702,7155.415382429718,0
1400000US37021002204,1807.4616100248713,16
1400000US37021002301,1637.5202793584174,8
1400000US37057061902,11485.538220853567,0
1400000US37055970300,3080.2396873207194,2
1400000US37183053506,590.9363618247982,22
1400000US37183053507,947.1583528390776,19
1400000US37067001700,1716.4003050780022,26
1400000US37179020317,2372.847734411573,16
1400000US37021002402,4846.699796440939,1
1400000US37057061300,1257.181090283949,9
1400000US37057061803,563.2055040146208,12
1400000US37057060304,3052.8890557036493,4
1400000US37057060201,3479.5906913307335,1
1400000US37033930100,15052.49940861986,0
1400000US37155960503,6347.749004213108,0
1400000US37081015402,965.226376093816,3
1400000US37051002900,13922.215453220984,0
1400000US37171930801,14080.79973518054,0
1400000US37195000802,2009.840652295599,8
1400000US37161960100,13463.301888111719,0
1400000US37101040100,658.3166613992317,3
1400000US37155960801,1819.7802464154988,6
1400000US37013931000,8223.153720370638,0
1400000US37013930700,19518.572838395397,0
1400000US37013930800,3606.7723809614617,1
1400000US37129012103,310.62287220044703,6
1400000US37049960404,6171.33776795622,0
1400000US37049960900,356.8157609277117,6
1400000US37119002002,1259.2964563626085,23
1400000US37183052707,1344.2231663521177,29
1400000US37001020502,1061.296340572851,14
1400000US37051001200,1812.9374620726712,10
1400000US37051001603,2283.349646005538,10
1400000US37025041501,2886.9976448251036,8
1400000US37025041502,4531.809418546671,2
1400000US37183052504,1214.7160935576997,20
1400000US37007920300,4366.281131100932,1
1400000US37035011802,7855.8684795499785,0
1400000US37183051700,2211.7027448472804,38
1400000US37183053601,1312.3515858505139,6
1400000US37161961101,6975.184156766697,0
1400000US37069060401,9693.81506180399,0
1400000US37119006215,1994.0062185417587,11
1400000US37069060301,3734.3567020261594,2
1400000US37135010705,645.6379422555002,16
1400000US37105030102,974.987957153044,5
1400000US37031990100,62883.885958722385,0
1400000US37157041601,5189.175756946493,0
1400000US37157040400,4494.996113002049,3
1400000US37197050101,9258.787887176113,0
1400000US37197050300,5377.846901576588,0
1400000US37061090600,11528.39317751849,0
1400000US37093980100,12674.62906647532,0
1400000US37119005906,1608.2040561675974,8
1400000US37049960101,6387.960661765421,0
1400000US37129011500,2513.292912350315,9
1400000US37129011500,2513.292912350315,9
1400000US37129011902,177.47131007420552,21
1400000US37129012004,3319.937644416276,6
1400000US37035010700,705.2741234801966,20
1400000US37065021600,15701.287818240702,0
1400000US37035011200,568.6175452662225,13
1400000US37005950300,11469.467703101847,0
1400000US37119004303,1676.9725080209562,33
1400000US37081011904,2120.9505621223493,7
1400000US37001020400,2799.327835590877,11
1400000US37081016007,938.9787306497826,18
1400000US37063002027,341.58154130914755,52
1400000US37119005100,728.1255807656113,56
1400000US37049961303,11483.467601396724,0
1400000US37101040301,4118.53187429898,2
1400000US37157040601,6765.04975854716,0
1400000US37059080700,1623.0836260175672,1
1400000US37153970400,4271.436913446421,2
1400000US37005950100,8101.887494493178,0
1400000US37081014406,1026.6761244905463,17
1400000US37097061404,1108.0017233423148,4
1400000US37119005508,371.5424823828672,14
1400000US37119005817,1374.816141129117,7
1400000US37119005837,795.2455714607208,8
1400000US37007920400,5717.9085271865915,0
1400000US37081012703,1355.2169110848236,26
1400000US37057060602,2087.433814795332,21
1400000US37119005714,2380.3740314398456,1
1400000US37071032800,834.6071505696445,19
1400000US37057060102,2950.833257785409,1
1400000US37067003315,357.693915751307,25
1400000US37067000900,436.7102673336059,36
1400000US37009970500,2320.2770909955134,3
1400000US37009970200,14401.338756080078,0
1400000US37179020307,963.2179986488983,15
1400000US37035010302,3693.2097612069783,5
1400000US37035010101,4610.026261207674,1
1400000US37019020104,2508.762517688061,7
1400000US37019020403,4679.048187871515,1
1400000US37183052406,1327.248332272574,22
1400000US37125950401,6044.127938428359,0
1400000US37067004104,2921.726084870801,1
1400000US37155961802,7270.438416966341,0
1400000US37087921200,4514.326434083738,1
1400000US37119005604,702.7254348014087,14
1400000US37081016410,1713.5315826700637,13
1400000US37097061102,2112.6059990095227,1
1400000US37119006407,1207.1391396319552,12
1400000US37045951601,3155.561504617362,2
1400000US37045951601,3155.561504617362,2
1400000US37067003003,1836.975097392475,6
1400000US37067003308,2279.364666312215,13
1400000US37081016800,2587.682393471248,9
1400000US37067003703,860.3544828266653,4
1400000US37109070800,2057.9450427245442,9
1400000US37157040502,75.67320446758154,2
1400000US37067003908,1839.572368348397,14
1400000US37183054112,1411.0872641271633,6
1400000US37163970200,18545.333871860625,0
1400000US37119005835,1652.1958134986862,15
1400000US37191000302,3209.880186531786,3
1400000US37041930200,13484.979464998438,0
1400000US37183054110,2857.36999025488,4
1400000US37051002501,1605.7025824822194,3
1400000US37035011601,6429.695581523971,0
1400000US37035010304,1212.402372361165,26
1400000US37065021500,13436.37352045964,0
1400000US37089931802,3448.0365607272906,1
1400000US37141920202,5726.887476917098,0
1400000US37127010504,3261.406059378188,6
1400000US37127011000,8943.493591450873,0
1400000US37021002506,2419.787822509757,8
1400000US37021002803,4489.056464808652,3
1400000US37021003201,1397.5814756992245,11
1400000US37135011500,1463.9662697222589,19
1400000US37119004200,715.5587509747282,63
1400000US37147000302,1305.0927529908022,9
1400000US37157040700,6002.650766267268,0
1400000US37157041100,6022.05916324923,0
1400000US37175960401,3676.295814032365,1
1400000US37119005614,2239.0755264107756,10
1400000US37027030700,342.592344202843,10
1400000US37119005914,666.3994848487058,36
1400000US37147001402,7444.87715320865,0
